Date,pm2.5,pm10,O3,NO2,SO2,co,Year,Month,Day,Quarter,DayOfWeek,WeekOfYear,IsWeekend,pm2.5_lag_1,pm2.5_lag_3,pm2.5_lag_7,pm2.5_lag_14,pm2.5_roll_mean_3,pm2.5_roll_mean_7,pm2.5_roll_mean_14,pm2.5_roll_std_7,pm2.5_roll_max_7,pm2.5_roll_min_7,season_Autumn,season_Monsoon,season_Spring,season_Summer,season_Winter
2015-01-01,142.0,0.5886901630579814,-1.1419881045250087,-0.4291823038650485,-0.33953281364368,-0.09062052445544709,2015,1,1,1,3,1,0,-0.152568295349038,-0.15302690565147611,-0.15320026423509236,-0.15470846215076237,-0.15894448986421697,-0.16446860771568794,-0.16910245735497437,-1.590254021085436,-0.603648081644486,0.34663149600207604,0,0,0,0,1
2015-01-02,142.0,0.5886901630579814,-1.1220132893821773,-0.45975603121736686,-0.33953281364368,-0.12442625096211382,2015,1,2,1,4,1,0,-0.152568295349038,-0.15302690565147611,-0.15320026423509236,-0.15470846215076237,-0.15894448986421697,-0.16446860771568794,-0.16910245735497437,-1.590254021085436,-0.603648081644486,0.34663149600207604,0,0,0,0,1
2015-01-03,142.0,0.5886901630579814,-1.1020384742393459,-0.49032975856968547,-0.33953281364368,-0.15823197746878034,2015,1,3,1,5,1,1,-0.152568295349038,-0.15302690565147611,-0.15320026423509236,-0.15470846215076237,-0.15894448986421697,-0.16446860771568794,-0.16910245735497437,-1.590254021085436,-0.603648081644486,0.34663149600207604,0,0,0,0,1
2015-01-04,142.0,0.5886901630579814,-1.0820636590965143,-0.5209034859220038,-0.33953281364368,-0.1920377039754471,2015,1,4,1,6,1,1,-0.152568295349038,-0.15302690565147611,-0.15320026423509236,-0.15470846215076237,-0.15894448986421697,-0.16446860771568794,-0.16910245735497437,-1.590254021085436,-0.603648081644486,0.34663149600207604,0,0,0,0,1
2015-01-05,142.0,0.5886901630579814,-1.062088843953683,-0.5514772132743224,-0.33953281364368,-0.22584343048211364,2015,1,5,1,0,2,0,-0.152568295349038,-0.15302690565147611,-0.15320026423509236,-0.15470846215076237,-0.15894448986421697,-0.16446860771568794,-0.16910245735497437,-1.590254021085436,-0.603648081644486,0.34663149600207604,0,0,0,0,1
2015-01-06,142.0,0.5886901630579814,-1.0421140288108517,-0.5820509406266408,-0.33953281364368,-0.2596491569887804,2015,1,6,1,1,2,0,-0.152568295349038,-0.15302690565147611,-0.15320026423509236,-0.15470846215076237,-0.15894448986421697,-0.16446860771568794,-0.16910245735497437,-1.590254021085436,-0.603648081644486,0.34663149600207604,0,0,0,0,1
2015-01-07,142.0,0.5886901630579814,-1.02213921366802,-0.6126246679789593,-0.33953281364368,-0.2934548834954469,2015,1,7,1,2,2,0,-0.152568295349038,-0.15302690565147611,-0.15320026423509236,-0.15470846215076237,-0.15894448986421697,-0.16446860771568794,-0.16910245735497437,-1.590254021085436,-0.603648081644486,0.34663149600207604,0,0,0,0,1
2015-01-08,142.0,0.5886901630579814,-1.0021643985251887,-0.6431983953312777,-0.33953281364368,-0.32726061000211365,2015,1,8,1,3,2,0,-0.152568295349038,-0.15302690565147611,-0.15320026423509236,-0.15470846215076237,-0.15894448986421697,-0.16446860771568794,-0.16910245735497437,-1.590254021085436,-0.603648081644486,0.34663149600207604,0,0,0,0,1
2015-01-09,142.0,0.5886901630579814,-0.9821895833823573,-0.5807770353202941,-0.33953281364368,-0.32726061000211365,2015,1,9,1,4,2,0,-0.152568295349038,-0.15302690565147611,-0.15320026423509236,-0.15470846215076237,-0.15894448986421697,-0.16446860771568794,-0.16910245735497437,-1.590254021085436,-0.603648081644486,0.34663149600207604,0,0,0,0,1
2015-01-10,142.0,0.5886901630579814,-0.9622147682395259,-0.5183556753093107,-0.33953281364368,-0.32726061000211365,2015,1,10,1,5,2,1,-0.152568295349038,-0.15302690565147611,-0.15320026423509236,-0.15470846215076237,-0.15894448986421697,-0.16446860771568794,-0.16910245735497437,-1.590254021085436,-0.603648081644486,0.34663149600207604,0,0,0,0,1
